Date,Variable_1,Variable_2,Variable_3,Variable_4,Variable_5,Variable_6,Variable_7,Variable_8,Variable_9,Variable_10
2016-02-10,65.9,79.5,70.43,68.5,82.29,81.72,15.04,99.53,29.86,60.46
2016-02-11,98.16,89.62,0.57,54.58,47.88,50.49,8.42,92.4,58.84,61.09
2016-02-12,18.7,11.93,76.13,84.66,92.42,39.97,77.46,54.68,57.26,15.73
2016-02-13,32.56,9.26,65.36,31.04,32.84,48.01,1.04,99.24,61.5,45.53
2016-02-14,35.22,89.85,75.28,54.83,4.95,56.8,53.62,67.12,42.34,69.54
2016-02-15,29.29,3.26,97.15,4.1,12.37,85.93,39.64,75.67,46.96,12.34
2016-02-16,58.0,52.2,69.01,92.31,13.33,57.73,14.04,19.32,66.81,75.58
2016-02-17,17.65,71.44,56.26,40.65,68.54,21.73,50.49,95.48,24.66,23.99
2016-02-18,21.88,19.64,79.76,79.6,52.51,78.05,45.21,88.32,72.0,15.49
2016-02-19,62.09,79.69,87.3,82.53,19.26,26.59,23.97,89.67,62.72,4.82
2016-02-20,76.91,64.71,92.99,11.86,98.27,94.68,3.8,30.18,76.39,24.45
2016-02-21,67.74,37.15,62.77,59.74,50.29,87.0,86.98,11.97,45.13,20.03
2016-02-22,88.7,45.63,88.24,98.51,74.84,74.29,81.43,34.84,85.44,90.1
2016-02-23,17.03,29.09,4.82,36.92,21.05,5.91,95.87,86.26,32.65,32.3
2016-02-24,94.98,36.42,24.56,24.4,95.32,91.73,11.2,91.67,69.36,63.6
2016-02-25,78.43,34.76,0.5,11.12,17.4,61.81,47.88,87.96,93.55,57.11
2016-02-26,25.08,27.24,44.97,94.36,96.2,84.89,96.86,63.97,18.38,22.6
2016-02-27,80.75,88.58,5.3,84.27,90.49,72.21,25.92,17.8,55.72,99.87
2016-02-28,5.49,84.66,79.75,79.96,18.95,18.86,31.66,90.95,49.27,41.71
2016-02-29,50.0,75.84,43.07,96.79,15.23,55.11,6.54,9.97,95.98,1.38
2016-03-01,44.77,82.58,74.43,54.33,22.62,24.27,21.54,76.24,23.68,50.94
2016-03-02,67.3,0.42,95.17,92.51,34.3,68.99,31.24,16.62,97.9,92.96
2016-03-03,87.55,79.4,71.84,2.03,8.49,95.23,72.21,4.67,68.34,72.43
2016-03-04,36.04,9.4,69.13,38.8,98.64,86.59,36.1,80.54,32.33,62.95
2016-03-05,37.14,87.32,3.66,46.94,3.81,49.33,48.58,37.63,80.96,89.28
2016-03-06,32.48,15.11,71.25,53.07,28.42,39.08,17.49,0.98,25.08,99.4
2016-03-07,22.16,92.79,12.76,38.1,58.98,50.89,6.36,45.48,2.42,86.76
2016-03-08,81.72,74.46,54.89,98.47,16.88,70.21,13.03,66.44,93.86,41.89
2016-03-09,23.42,98.56,75.63,22.72,20.53,20.34,88.67,75.3,18.98,76.65
2016-03-10,60.95,10.47,69.99,31.18,74.9,48.42,18.31,1.44,23.4,13.25
2016-03-11,89.63,59.67,12.65,17.51,99.82,35.41,93.18,70.44,57.64,48.77
2016-03-12,78.63,39.89,20.64,97.83,39.47,29.99,49.3,4.96,3.93,45.81
2016-03-13,90.38,98.28,24.78,53.46,58.91,65.37,12.9,80.25,29.65,7.02
2016-03-14,48.64,47.74,31.95,81.48,62.87,47.65,15.01,78.7,22.27,96.95
2016-03-15,39.56,20.66,79.06,30.36,4.47,29.94,80.15,31.86,1.98,83.48
2016-03-16,28.68,89.32,98.15,53.85,67.94,80.99,96.51,87.95,84.36,24.51
2016-03-17,86.89,19.2,70.56,55.53,97.86,39.96,24.57,69.35,25.26,5.14
2016-03-18,71.1,41.09,94.45,67.87,69.64,28.62,98.82,85.61,71.14,62.07
2016-03-19,47.94,11.29,24.83,41.4,47.1,15.22,39.39,10.09,36.41,69.28
2016-03-20,25.61,44.23,77.94,44.83,30.69,80.56,77.41,70.77,48.91,51.14
2016-03-21,86.0,29.47,35.51,49.33,88.33,53.34,9.84,65.94,83.11,96.5
2016-03-22,93.09,52.45,17.6,89.7,56.46,65.53,83.42,51.51,52.28,82.35
2016-03-23,14.07,83.99,75.52,48.68,99.97,18.99,68.16,72.43,51.27,47.04
2016-03-24,98.02,92.22,73.69,14.94,77.19,87.25,52.11,22.8,87.14,69.11
2016-03-25,36.24,79.33,10.71,18.89,15.54,21.96,19.33,13.18,36.0,0.85
2016-03-26,10.56,64.35,53.48,45.68,50.25,67.49,24.37,32.7,48.52,14.85
2016-03-27,14.05,68.14,48.11,46.35,81.48,61.22,8.53,79.71,96.64,76.33
2016-03-28,76.83,50.3,10.04,16.26,26.97,0.3,59.74,36.22,13.63,89.91
2016-03-29,82.18,56.58,44.6,55.19,73.33,35.49,43.39,65.75,77.98,0.01
2016-03-30,8.46,65.66,54.92,51.81,7.46,40.82,10.22,77.0,48.23,44.47
2016-03-31,70.18,56.46,4.81,62.16,66.21,52.74,1.81,33.47,0.62,57.54
2016-04-01,42.26,72.06,59.98,90.34,88.15,10.55,22.45,5.18,40.88,22.0
2016-04-02,71.43,45.4,15.74,99.62,1.6,38.16,95.76,17.35,57.43,26.5
2016-04-03,87.38,76.25,47.76,39.9,47.61,38.61,76.1,96.55,62.08,34.33
2016-04-04,35.36,15.82,74.88,47.51,64.66,93.8,31.28,48.71,58.73,75.0
2016-04-05,42.21,93.28,87.06,83.57,45.79,30.59,96.2,87.86,62.0,73.96
2016-04-06,11.5,19.45,9.62,1.8,24.46,23.66,78.53,87.97,76.21,56.65
2016-04-07,34.41,27.85,58.85,19.47,72.45,43.86,94.48,33.28,93.52,82.97
2016-04-08,91.34,69.04,45.66,71.36,18.64,72.17,93.67,21.8,22.41,87.73
2016-04-09,53.75,83.96,73.72,36.94,67.1,84.36,87.73,85.26,28.74,86.02
2016-04-10,43.6,98.36,5.03,25.45,29.0,62.61,22.73,92.21,37.39,53.7
2016-04-11,55.45,87.9,46.31,59.99,18.12,88.54,80.86,59.77,87.29,92.07
2016-04-12,26.5,64.59,46.6,53.39,92.41,59.48,63.01,87.91,4.2,50.19
2016-04-13,22.02,37.69,85.94,87.21,29.77,93.91,55.75,22.05,73.44,11.6
2016-04-14,9.81,77.36,15.41,82.39,16.86,73.36,5.83,95.41,79.5,93.79
2016-04-15,80.74,54.79,74.33,23.21,38.69,50.8,71.74,5.5,62.98,94.57
2016-04-16,51.74,74.05,39.97,70.07,14.17,75.66,92.07,21.4,32.71,60.51
2016-04-17,22.23,1.77,47.71,35.84,87.59,33.23,34.38,68.33,37.6,79.87
2016-04-18,52.64,60.72,82.18,59.97,99.48,46.31,92.19,32.18,38.64,99.19
2016-04-19,93.57,33.27,52.2,8.52,0.56,72.84,45.22,12.98,87.05,84.7
2016-04-20,14.32,74.83,55.84,72.84,11.51,39.74,82.22,1.41,44.16,0.75
2016-04-21,38.54,34.07,98.84,22.88,85.15,86.29,92.41,99.19,33.29,24.86
2016-04-22,42.25,77.53,79.73,1.14,97.15,12.8,16.41,52.21,67.83,51.82
2016-04-23,11.3,74.93,28.93,92.14,39.41,1.99,52.71,92.11,18.14,31.38
2016-04-24,63.44,80.03,2.95,10.91,83.05,77.24,91.05,38.16,94.94,47.51
2016-04-25,32.09,33.64,92.84,4.13,77.85,46.07,46.46,13.01,95.56,63.79
2016-04-26,85.36,78.73,11.33,98.02,98.78,20.81,91.94,87.38,65.73,52.55
2016-04-27,65.8,76.84,18.81,70.84,97.0,46.08,31.07,95.49,65.71,9.82
2016-04-28,21.84,33.36,47.2,64.85,46.53,92.62,61.05,0.46,24.56,39.43
2016-04-29,79.06,2.49,75.32,34.97,3.96,83.64,27.63,32.02,59.61,59.18
2016-04-30,23.49,24.27,61.62,27.85,79.52,77.47,25.72,72.39,47.55,24.8
2016-05-01,60.75,7.36,85.85,92.23,84.54,28.97,39.33,94.45,47.79,36.13
2016-05-02,24.05,10.97,20.97,61.94,3.97,65.33,54.5,40.53,32.18,9.61
2016-05-03,59.63,16.78,19.26,56.46,90.75,49.94,89.74,76.82,96.55,89.78
2016-05-04,68.58,48.68,57.5,88.65,62.11,93.45,86.66,55.08,31.79,95.16
2016-05-05,7.35,24.99,36.95,14.29,44.59,1.52,9.86,63.03,0.38,39.5
2016-05-06,64.94,89.18,18.76,43.36,77.79,95.29,21.89,58.43,78.6,27.12
2016-05-07,14.93,90.45,99.14,54.04,28.52,11.52,8.13,35.83,66.8,66.58
2016-05-08,96.14,88.99,64.24,22.85,12.74,84.83,4.41,62.49,54.24,25.82
2016-05-09,51.69,16.17,93.55,22.52,44.4,17.16,6.1,52.39,86.8,59.08
2016-05-10,31.55,28.83,59.24,15.44,42.8,20.12,18.22,7.34,42.47,60.36
2016-05-11,94.95,26.81,12.27,99.89,54.71,96.81,16.47,45.57,82.53,45.26
2016-05-12,58.85,87.27,43.36,46.25,16.2,34.71,78.56,45.93,27.3,10.76
2016-05-13,60.57,6.98,93.4,5.47,56.82,33.01,57.85,21.12,36.58,84.02
2016-05-14,33.55,99.08,73.59,28.27,64.32,73.39,25.01,36.6,53.6,98.6
2016-05-15,44.57,6.97,29.66,98.4,37.0,84.21,76.64,83.7,8.08,55.31
2016-05-16,97.55,9.2,55.01,32.86,44.19,32.74,65.71,29.63,54.11,12.46
2016-05-17,81.7,23.86,57.22,75.3,31.8,98.65,20.1,12.15,42.37,78.77
2016-05-18,60.73,27.56,19.66,47.68,4.87,22.53,74.58,39.97,33.28,7.27
2016-05-19,60.83,4.71,93.26,96.74,13.81,91.58,42.2,17.78,63.88,37.49
2016-05-20,58.0,87.97,84.36,65.97,30.88,88.38,68.32,55.5,28.24,40.55
2016-05-21,41.87,76.28,7.95,71.09,18.6,49.16,30.6,93.35,30.29,91.98
2016-05-22,42.05,59.08,31.27,36.6,30.54,79.04,61.33,45.11,48.59,43.87
2016-05-23,36.95,82.56,80.35,69.33,91.08,58.82,96.89,86.4,38.12,90.01
2016-05-24,28.33,98.62,86.8,48.71,87.37,71.39,1.53,60.01,95.07,35.93
2016-05-25,42.47,40.21,91.75,63.55,4.31,85.27,10.03,40.38,59.81,18.55
2016-05-26,21.81,2.53,78.06,22.07,94.76,67.86,69.42,18.23,72.16,99.07
2016-05-27,35.96,47.95,3.61,67.27,36.91,87.33,5.67,29.51,29.95,50.7
2016-05-28,76.76,46.8,43.43,64.72,69.16,90.69,84.64,52.49,45.39,18.53
2016-05-29,98.49,38.62,46.41,60.59,31.69,16.55,56.21,80.24,32.08,39.5
2016-05-30,81.89,95.08,44.76,41.73,36.22,11.84,57.89,52.53,13.91,38.8
2016-05-31,22.98,4.15,5.53,85.45,92.13,16.79,89.72,45.31,73.42,80.58
2016-06-01,78.04,88.78,19.44,67.87,78.45,71.04,46.47,93.43,0.92,80.85
2016-06-02,43.98,53.58,32.16,15.14,11.12,13.94,14.85,76.48,16.82,53.93
2016-06-03,80.31,10.24,19.63,48.66,51.32,56.93,89.87,81.04,35.62,18.28
2016-06-04,11.52,6.59,84.85,66.78,8.55,9.79,29.32,74.32,83.35,89.45
2016-06-05,17.52,73.88,9.51,93.32,68.34,97.28,11.97,33.78,18.82,69.99
2016-06-06,35.12,86.45,34.61,71.2,1.06,18.98,7.76,51.59,18.44,9.97
2016-06-07,29.41,30.63,29.46,56.86,54.64,37.82,82.65,66.99,11.19,81.53
2016-06-08,93.76,31.09,90.5,4.7,9.44,78.37,36.56,87.17,15.21,84.32
2016-06-09,7.33,43.29,81.05,69.38,84.17,26.32,82.09,10.27,46.8,39.43
2016-06-10,7.2,64.57,28.56,76.46,40.41,37.55,72.3,91.04,30.67,70.7
2016-06-11,31.92,78.26,71.89,88.21,45.58,98.79,7.27,70.17,15.56,69.52
2016-06-12,82.85,71.94,13.08,38.01,38.62,62.63,95.22,17.71,56.98,54.27
2016-06-13,30.32,68.22,69.05,86.44,95.36,97.61,42.41,99.92,83.92,66.05
2016-06-14,57.58,91.19,54.75,87.86,68.97,45.38,4.07,64.45,0.11,2.8
2016-06-15,92.99,83.79,54.55,34.33,8.15,3.53,12.0,35.48,28.18,78.05
2016-06-16,43.96,55.74,37.35,22.06,81.63,32.44,76.22,52.41,80.41,11.59
2016-06-17,40.71,86.87,17.93,9.22,65.1,91.98,71.73,77.79,95.24,52.62
2016-06-18,0.51,10.83,89.08,62.94,90.11,41.51,71.72,92.55,95.27,43.29
2016-06-19,16.75,38.29,83.73,3.64,11.81,94.69,48.94,16.11,18.16,82.11
2016-06-20,69.94,74.01,55.8,42.56,90.16,35.77,79.97,72.53,65.49,32.03
2016-06-21,3.59,69.23,62.58,50.02,48.15,68.26,61.32,2.89,0.45,58.48
2016-06-22,26.38,68.57,32.83,99.71,98.05,40.8,96.67,12.13,55.69,82.62
2016-06-23,4.03,96.45,51.26,56.68,83.35,74.46,17.76,19.19,56.45,66.73
2016-06-24,63.45,50.87,15.94,61.1,56.96,28.87,53.92,84.8,9.05,74.67
2016-06-25,50.68,87.3,8.48,42.52,90.57,25.69,87.79,20.54,12.89,92.28
2016-06-26,47.4,34.89,72.07,81.83,32.03,14.62,4.09,69.31,39.76,60.18
2016-06-27,68.07,4.77,91.85,95.74,54.06,71.86,63.6,74.2,0.98,47.99
2016-06-28,23.27,33.39,33.92,75.89,86.2,22.61,13.09,69.99,73.77,51.06
2016-06-29,0.33,75.35,12.68,23.32,10.14,71.56,25.16,24.39,15.19,14.03
2016-06-30,54.31,46.98,81.14,17.89,88.25,74.88,34.4,9.79,49.35,4.73
2016-07-01,17.69,64.72,60.15,88.78,95.87,95.6,66.95,38.63,66.79,14.26
2016-07-02,41.16,53.66,80.01,26.9,87.71,16.48,10.56,14.39,95.1,30.78
2016-07-03,45.35,30.0,64.98,37.73,73.01,2.48,98.35,9.37,39.77,15.77
2016-07-04,43.66,46.96,31.05,74.07,75.95,3.5,93.8,46.1,29.74,93.13
2016-07-05,55.23,34.57,34.64,18.93,89.75,83.09,90.07,47.72,82.54,74.73
2016-07-06,19.41,69.32,0.21,48.05,37.34,22.91,8.44,78.07,97.43,13.29
2016-07-07,62.23,95.97,20.63,89.16,72.63,9.49,87.1,14.14,67.33,49.58
2016-07-08,17.42,72.98,61.31,47.1,10.76,57.65,66.48,33.4,33.6,70.82
2016-07-09,78.89,73.34,74.95,33.18,57.38,90.42,60.83,81.94,44.4,80.69
2016-07-10,56.49,32.35,58.81,47.43,51.75,65.99,75.6,28.45,42.5,81.49
2016-07-11,13.62,28.97,28.62,73.63,88.85,68.01,95.83,24.72,77.76,73.16
2016-07-12,66.44,94.12,55.6,52.95,48.82,51.11,99.29,4.16,71.97,37.95
2016-07-13,2.94,97.53,4.94,73.79,74.17,77.57,49.67,45.72,38.42,69.51
2016-07-14,8.38,17.45,39.53,46.77,19.56,34.82,4.26,97.94,63.18,98.6
2016-07-15,71.48,58.21,13.66,69.63,55.18,70.39,54.91,22.71,70.22,66.98
2016-07-16,75.38,32.24,52.94,73.32,16.1,22.62,10.25,61.0,87.62,97.67
2016-07-17,54.53,44.47,31.33,32.61,80.44,54.57,69.31,93.82,65.01,42.33
2016-07-18,26.65,9.42,4.28,85.56,47.14,40.87,4.32,79.4,7.53,97.91
2016-07-19,43.91,51.47,26.24,80.27,49.39,35.34,73.01,40.0,42.56,47.16
2016-07-20,49.91,5.86,79.99,71.44,67.72,95.07,52.82,66.46,49.93,29.82
2016-07-21,52.87,55.87,15.73,85.65,52.27,90.71,11.73,94.01,4.76,49.92
2016-07-22,96.3,20.32,68.72,48.65,24.22,42.71,99.48,92.74,39.57,37.49
2016-07-23,42.21,34.96,0.84,46.79,12.09,9.25,95.54,18.56,21.61,14.89
2016-07-24,41.9,96.43,30.21,88.85,58.01,70.93,45.02,38.95,23.89,63.3
2016-07-25,55.63,58.87,61.31,84.69,69.39,33.9,12.84,12.52,52.12,82.09
2016-07-26,30.47,93.66,89.11,46.16,3.76,62.79,89.37,27.95,74.55,12.76
2016-07-27,83.31,71.89,72.86,55.25,49.13,41.25,21.28,54.51,77.36,37.51
2016-07-28,69.49,96.94,66.08,12.37,49.7,69.12,53.44,81.07,73.12,63.35
2016-07-29,54.22,96.83,76.48,63.51,12.17,13.82,22.0,39.25,90.87,79.22
2016-07-30,24.07,18.7,82.63,24.24,66.42,8.69,54.72,99.25,7.73,34.27
2016-07-31,87.77,46.39,58.69,30.17,88.26,0.84,97.98,51.85,15.68,91.21
2016-08-01,18.0,50.78,88.92,75.19,1.44,83.77,7.17,35.66,99.9,32.1
2016-08-02,18.08,10.18,87.29,48.16,12.09,35.66,60.42,87.31,20.7,44.17
2016-08-03,39.18,88.61,42.87,61.87,37.97,22.99,89.84,54.56,55.31,58.96
2016-08-04,56.22,60.8,98.79,27.89,77.05,78.09,2.5,41.03,11.33,61.76
2016-08-05,86.24,34.05,31.48,0.73,57.72,11.54,79.35,44.79,53.84,30.44
2016-08-06,95.37,73.45,68.38,83.5,40.37,97.75,77.26,33.19,29.8,58.83
2016-08-07,42.34,44.81,51.86,71.81,32.06,21.72,95.13,40.09,27.55,41.07
2016-08-08,66.38,35.47,78.34,84.64,48.25,38.26,77.65,65.81,48.38,71.59
2016-08-09,26.25,36.46,68.84,50.73,80.01,54.96,53.45,24.38,50.64,23.56
2016-08-10,9.57,86.38,61.57,86.42,80.36,96.63,27.76,14.39,57.72,80.76
2016-08-11,29.97,3.03,38.15,75.25,76.64,77.79,3.72,58.11,65.99,79.01
2016-08-12,28.88,17.3,0.75,50.68,73.91,26.34,43.04,36.92,15.66,13.78
2016-08-13,39.16,22.0,43.79,80.79,35.7,22.34,13.61,5.73,39.58,82.76
2016-08-14,32.09,10.96,52.17,54.16,94.72,48.01,22.92,68.74,3.39,34.3
2016-08-15,19.31,36.8,35.93,92.72,83.24,96.33,31.82,93.04,19.44,67.26
2016-08-16,93.06,67.23,77.98,85.2,3.43,94.79,11.51,64.85,63.2,25.28
2016-08-17,74.31,87.22,40.39,95.02,68.48,40.39,55.75,38.88,5.33,58.6
2016-08-18,4.44,96.48,90.93,79.75,67.93,48.03,13.02,90.61,37.84,94.74
2016-08-19,76.17,40.72,96.72,59.24,84.83,66.54,50.84,45.46,39.79,47.07
2016-08-20,80.47,63.69,97.08,58.98,17.02,77.84,46.52,59.63,2.4,63.18
2016-08-21,34.75,86.17,77.48,3.01,23.07,14.88,27.62,21.14,1.57,40.46
2016-08-22,94.63,55.97,64.63,42.7,22.16,38.62,72.52,3.41,45.97,48.76
2016-08-23,9.98,72.51,2.08,90.71,32.27,75.93,97.6,72.42,22.07,54.58
2016-08-24,97.17,90.08,70.07,28.26,46.32,79.26,26.44,80.28,66.46,89.25
2016-08-25,79.57,7.72,57.18,87.88,56.05,71.63,79.04,71.59,1.75,5.17
2016-08-26,40.05,37.11,11.29,48.25,62.17,93.23,96.77,77.4,74.61,26.95
2016-08-27,96.14,95.21,63.06,50.99,21.17,80.17,48.07,54.12,92.6,26.31
2016-08-28,97.26,81.26,88.47,36.34,22.35,15.78,92.71,44.42,36.82,19.9
2016-08-29,71.89,19.32,69.36,13.13,67.73,10.59,43.23,64.29,40.01,24.29
2016-08-30,70.48,31.15,65.53,13.2,37.57,22.54,13.91,58.74,26.07,86.4
2016-08-31,73.62,98.56,58.17,81.69,55.66,66.17,92.87,55.93,5.02,17.26
2016-09-01,24.33,18.58,52.04,35.6,61.13,12.82,85.21,67.51,61.28,91.35
2016-09-02,35.61,76.34,66.38,99.65,82.55,70.22,14.07,31.22,9.8,90.0
2016-09-03,13.72,99.5,59.38,7.63,92.77,18.64,75.8,87.68,17.65,84.19
2016-09-04,37.74,22.86,69.25,34.93,47.45,56.05,63.42,55.2,28.15,85.28
2016-09-05,48.59,53.2,41.07,63.1,51.38,48.78,56.99,13.32,92.58,12.92
2016-09-06,90.1,21.73,84.86,28.32,52.95,23.28,39.09,14.58,14.68,99.74
2016-09-07,15.26,2.44,53.65,16.26,72.55,45.33,28.44,9.32,47.41,52.3
2016-09-08,0.46,52.83,71.89,2.84,82.28,63.54,17.0,75.24,63.95,91.65
2016-09-09,63.27,79.45,20.84,20.9,22.59,51.7,11.71,94.78,82.86,92.15
2016-09-10,12.85,15.63,55.0,11.55,0.26,81.16,48.47,45.66,87.41,62.07
2016-09-11,6.24,66.89,14.36,68.97,81.16,63.09,34.09,98.23,45.41,93.73
2016-09-12,55.34,3.97,67.05,98.35,59.33,97.77,69.89,33.4,86.51,95.55
2016-09-13,51.0,10.34,91.78,65.46,94.63,46.38,83.61,29.0,78.4,41.44
2016-09-14,87.84,82.13,38.15,13.79,75.29,4.96,27.58,30.75,37.3,64.22
2016-09-15,37.97,42.58,88.57,82.21,39.72,88.88,83.82,2.19,32.34,45.02
2016-09-16,75.31,69.42,85.48,75.55,94.5,24.74,51.45,13.43,22.33,53.82
2016-09-17,3.33,83.1,35.45,44.2,21.74,71.51,69.17,46.77,4.84,4.88
2016-09-18,51.41,59.82,48.02,49.35,94.46,97.67,95.45,27.3,65.62,44.51
2016-09-19,32.99,94.54,20.15,37.25,90.43,99.94,95.62,60.15,33.12,6.55
2016-09-20,42.19,27.59,48.76,55.26,70.76,27.21,19.87,16.02,99.43,72.41
2016-09-21,18.55,52.97,72.51,42.0,6.34,30.64,29.76,78.42,94.25,64.58
2016-09-22,52.86,66.61,47.3,94.66,24.74,79.21,89.63,86.47,50.07,30.49
2016-09-23,71.15,61.7,98.35,52.77,53.28,5.68,19.22,37.14,99.68,72.63
2016-09-24,73.23,37.34,22.61,35.19,91.12,25.22,83.53,29.25,0.35,50.23
2016-09-25,34.96,93.98,35.19,38.81,71.31,90.55,20.44,34.54,28.62,33.38
2016-09-26,92.4,43.35,47.85,65.65,90.57,80.74,38.03,21.21,55.84,30.99
2016-09-27,26.82,96.66,30.14,58.02,17.14,65.63,33.37,27.32,36.31,50.19
2016-09-28,2.75,82.66,25.04,77.06,89.46,43.08,97.11,95.16,37.63,29.33
2016-09-29,64.15,33.62,79.63,28.19,42.16,60.45,48.71,18.96,22.71,71.59
2016-09-30,91.0,36.59,21.59,82.9,90.61,37.52,17.2,92.38,35.77,31.47
2016-10-01,11.87,63.06,14.21,9.39,73.22,68.97,58.14,32.97,45.83,49.56
2016-10-02,80.9,24.27,69.77,25.04,2.38,65.07,24.25,25.85,92.13,8.29
2016-10-03,20.2,2.8,86.03,53.36,67.89,26.3,82.82,58.19,96.83,26.59
2016-10-04,63.65,12.11,56.87,72.35,97.28,69.58,77.45,24.94,45.67,96.07
2016-10-05,54.8,79.37,1.81,75.08,22.67,20.14,36.5,39.57,23.6,65.06
2016-10-06,55.97,29.32,94.87,97.3,72.05,64.69,81.68,48.96,89.47,44.04
2016-10-07,35.39,68.44,7.94,65.48,46.37,28.05,43.91,94.14,43.19,8.5
2016-10-08,99.67,31.72,54.02,54.67,13.65,66.24,4.84,85.23,92.47,65.04
2016-10-09,35.73,51.05,62.76,1.0,52.01,60.2,86.51,77.57,33.49,91.5
2016-10-10,34.01,74.66,55.12,96.29,86.41,86.02,66.57,31.85,40.67,33.06
2016-10-11,85.48,65.59,18.67,86.9,63.55,72.14,8.4,22.36,32.54,12.04
2016-10-12,81.38,3.53,67.16,13.29,98.08,95.03,62.77,46.79,6.59,98.27
2016-10-13,15.07,25.57,0.42,68.07,93.77,96.58,15.9,27.56,86.2,73.46
2016-10-14,67.85,79.32,33.66,31.02,73.62,36.19,14.22,19.08,51.26,13.07
2016-10-15,88.57,67.49,88.94,55.39,49.36,21.92,68.79,20.81,9.57,69.93
2016-10-16,46.09,23.73,58.7,32.62,51.86,7.38,48.81,35.92,10.84,81.83
2016-10-17,37.68,90.74,88.64,61.13,50.48,28.1,18.86,60.07,8.49,1.73
2016-10-18,99.44,73.46,36.11,46.11,51.01,63.52,45.5,36.91,21.28,75.82
2016-10-19,40.01,43.71,66.71,58.29,36.29,46.57,94.9,84.88,47.34,98.3
2016-10-20,91.67,55.07,81.54,76.38,25.09,73.43,56.54,64.57,47.07,20.78
2016-10-21,59.25,61.01,92.51,46.6,53.46,50.15,73.17,45.58,51.09,79.52
